bug_id,summary
1871965,Performance down by magnitudes on certain SSDs or ports
1901399,Test Bug
1915161,SourceTree crashes shortly after launching application.
1691981,Crash report
1545276,Prueba
1915872,broken link
1929679,Unable to know if the time is AM or PM
1930475, Authentication failed when attempting Fetch command
1929794,Keesp Asking for GitHub Login
1930057,OAuth token keeps expiring
1929802,Unable to start SourceTree after updating from older version to 3.4.12
1929745,Dark Theme - history changed files not displayed correctly
1886320,Sort remote repositories
1929231,"Fix for  Git Buffer Overflow - CVE-2022-41903, CVE-2022-23521"
1918101,Upadate embedded Git binary and create new release
1918662,Failed to start after windows update
1918621,History view column sizes madness
1834454,Error at cloning Repository 
1916615,Failed update from 3.4.9
1915672,Unable to log in to Sourcetree
1915559,"App freezes and displays """"Not Responding"""" in titlebar constantly"
1915503,添加大量文件后，SourceTree会长时间无响应
1915373,Sourcetree crashs soon after start
1912890,Left zone of Sourcetree - Workspace - List Branches scroll top after refresh
1913568,Pull & Push now fails after Atlassian Logon window opens on SourceTree push
1910669,Diff Panel not showing the changes
1834928,graphic artifacts
1483449,Affected versions for SourceTree for Windows are not up-to-date in Jira
1912401,Sort remote repositories dropdown list items
1912454,$FILE expands to file name different than selected in Custom action
1912452,Maximized SourceTree window covers taskbar when hidden taskbar is on the left of the screen
1911101,Diff view does not show for mercurial repositories
1912126,Error when creating pull request from SourceTree
1911051,Sourcetree reproducable fails for a basic use case (open working directory)
1910930,Upgrade from 3.4.9 failing.
1909400,"Wrong translation for """"branch"""" to Italian"
1910183,SourceTree crashes trying to clone any repository
1909702,Update SourceTree for Windows from 3.4.10 to 3.4.11 fails
1904641,Can't start SourceTree after updating to 3.4.10
1904640,Error when updating to 3.4.10
1902692,No update
1904227,SourceTree not showing the diff just says 'select a file to view the diff'
1904133,Digital Certificate validity period has expired.
1903515,SourceTree 3.4.10 seems to be positive to AgentTesla
1903875,Interactive Rebase window keeps resizing itself
1903861,Signing Certificate has expired
1472897,test for 
1903484,Cannot upgrade from 3.4.9.0 to 3.4.10
1902927,Sourcetree installer Failed to start System.Management.ManagementException: Invalid class
1902271,Sourcetree Support Website links to Mac version of suggestions and bugs
1901971,Update fails to Sourcetree 3.4.10
1901398,Source Tree Application Crashes on Opening
1901099,Source Tree Application Crashes on Opening
1901170,Sorcetree not installing 
1900797,Cannot update Sourcetree to 3.4.10
1900913,Update to 3.4.10 fails with 'Method not found' exception
1900643,Pull button is causing issue and unable to pull the other changes
1875681,403 ERROR
1900305,Wake up after sleep
1877018,Repair stash External Diff when diff tool is custom
1900219,Software update to 3.4.10 fails
1900270,On-Prem DEVOPS repo wont connect. 
1883302,Git Add Issue
1834042,Userpics in commits
1899796,Update to v3.4.10 fails
1900035,Update does not work (v3.4.9 -> v3.4.10)
